               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.021212,            0.016755,                   0,             0.89401,             0.83636,              0.8745,             0.65208,            0.023663,            0.017073,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021035,            0.016855,                   0,             0.87961,             0.82909,             0.87261,              0.6482,             0.02414,            0.017587,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021486,             0.01706,                   0,             0.90616,             0.79636,             0.87699,             0.65237,            0.024141,            0.017317,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02049,             0.01653,                   0,             0.90146,                 0.8,             0.87353,             0.64417,            0.023647,            0.017552,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021543,            0.016872,                   0,             0.89367,             0.79465,             0.86549,             0.63566,            0.024385,            0.018156,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019993,             0.01645,                   0,             0.91223,             0.81091,             0.88965,             0.64841,            0.024201,            0.017662,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020398,            0.015905,                   0,             0.93056,                 0.8,             0.88886,             0.67497,            0.022917,            0.017028,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020096,            0.015823,                   0,             0.87276,             0.84364,             0.88632,             0.67222,            0.023054,            0.017573,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020401,            0.016343,                   0,             0.88108,             0.83519,             0.87294,             0.66494,            0.023585,            0.017565,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019911,            0.015629,                   0,             0.86583,             0.84727,             0.87508,             0.66647,            0.023336,            0.017555,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018936,            0.015512,                   0,             0.89684,                 0.8,             0.87051,             0.66807,            0.023122,            0.018105,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019598,            0.016389,                   0,             0.87604,             0.82233,             0.87665,             0.67196,            0.022937,            0.017854,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019307,            0.016169,                   0,             0.89407,             0.81091,             0.87804,              0.6702,            0.022907,            0.017544,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018286,            0.014917,                   0,             0.90608,             0.81818,             0.87562,             0.67234,            0.022608,            0.017592,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019003,            0.016582,                   0,             0.88868,             0.84187,              0.8837,             0.67923,            0.022498,            0.017584,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01908,            0.015671,                   0,             0.89335,             0.82239,             0.87004,             0.67082,            0.022638,            0.018061,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018072,            0.015146,                   0,             0.90274,             0.80727,             0.87871,             0.66977,            0.022942,            0.018117,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018502,            0.014991,                   0,             0.88186,             0.83636,             0.88892,             0.67916,            0.022419,            0.017721,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019168,            0.015743,                   0,             0.87076,             0.85455,             0.88305,             0.67467,            0.022672,            0.017006,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017938,            0.015056,                   0,              0.8533,             0.86182,             0.87926,             0.68191,            0.022535,            0.016755,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018529,            0.015769,                   0,             0.84736,             0.83636,             0.86949,             0.67731,            0.022515,            0.016977,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018026,            0.014974,                   0,             0.90461,             0.79311,              0.8732,             0.68475,            0.022509,            0.017345,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017998,            0.015293,                   0,             0.88411,             0.80364,             0.87275,              0.6879,            0.022403,            0.017421,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01901,            0.016383,                   0,             0.89452,             0.81091,             0.88229,             0.68042,            0.022586,            0.017482,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017924,            0.014979,                   0,             0.85264,              0.8416,             0.87528,             0.68229,            0.022306,            0.017431,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017609,            0.014444,                   0,             0.84968,             0.86545,             0.87334,             0.68458,            0.021972,            0.017113,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017763,            0.014237,                   0,              0.8667,             0.85115,             0.87374,             0.68202,            0.021983,            0.016969,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017966,            0.015774,                   0,             0.87001,             0.85185,             0.87506,             0.68905,            0.021823,              0.0169,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018319,            0.014618,                   0,             0.87284,             0.84727,              0.8772,             0.68563,            0.022218,            0.017264,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01751,            0.014038,                   0,             0.86283,             0.85091,             0.87649,             0.69116,            0.022089,            0.017081,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017967,            0.015706,                   0,             0.87156,                0.84,             0.87698,             0.69215,            0.022141,            0.016879,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017098,            0.014334,                   0,             0.89764,             0.82182,             0.87685,              0.6922,            0.022029,            0.016681,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017484,            0.014071,                   0,             0.90372,             0.82909,             0.88244,             0.69143,            0.022076,            0.016816,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017049,            0.014789,                   0,             0.90316,             0.81818,             0.87671,             0.69246,            0.022018,            0.016857,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017699,            0.015508,                   0,             0.89245,             0.81472,             0.87761,             0.69628,             0.02194,            0.016971,                   0,            0.000298,            0.000298,            0.000298
